"dataset","model","method","seed","batch_size","latency_ms_median","latency_ms_mean","latency_ms_std","latency_ci_lo","latency_ci_hi","throughput_per_sec","aif360_version","sklearn_version","notes"
"adult","rf","baseline","256","32","6.595500046387315","6.867381006013602","2.5904241596702478","5.6035000598058105","7.209750008769333","4851.792854967532","0.6.1","1.5.2","multi_batch"
"adult","rf","baseline","256","128","10.416000033728778","9.155705007724464","2.6760578863323032","7.331550004892051","10.731777548789978","12288.78644254169","0.6.1","1.5.2","multi_batch"
"adult","rf","baseline","256","256","13.308100053109229","12.813356001861393","2.4747528065488478","13.079899945296347","13.474799925461411","19236.404819498606","0.6.1","1.5.2","multi_batch"
"adult","rf","baseline","256","1024","32.267850008793175","32.7075340016745","7.58274031362285","31.367450021207333","33.37710001505911","31734.373369188033","0.6.1","1.5.2","multi_batch"
"adult","rf","reweighing","256","1","1.9192000618204474","2.093881000764668","0.449364468872124","1.9052974588703364","1.9490999402478337","521.050420898515","0.6.1","1.5.2","multi_batch"
"adult","rf","reweighing","256","32","3.142499946989119","3.264619007240981","0.5347373854097451","3.029500017873943","3.243149956688285","10182.975509883374","0.6.1","1.5.2","multi_batch"
"adult","rf","reweighing","256","128","5.747500108554959","6.062276000156999","0.7514378125686906","5.634549888782203","6.007850053720176","22270.551993461704","0.6.1","1.5.2","multi_batch"
"adult","rf","reweighing","256","256","8.86954995803535","9.489910998381674","1.6095451678790196","8.74258742260281","9.235099889338017","28862.79475409881","0.6.1","1.5.2","multi_batch"
"adult","rf","reweighing","256","1024","20.861949888058007","22.4344159825705","4.756332080402084","20.661299815401435","21.190900122746825","49084.57768783002","0.6.1","1.5.2","multi_batch"
"adult","rf","dir","256","1","3.4532499266788363","4.039933995809406","1.208162476291083","3.3989499788731337","3.6431001499295235","289.58228371317165","0.6.1","1.5.2","multi_batch"
"adult","rf","dir","256","32","6.190150044858456","6.4029330015182495","0.7991502086374161","6.063955070567317","6.423100014217198","5169.5031248199275","0.6.1","1.5.2","multi_batch"
"adult","rf","dir","256","128","9.105600067414343","9.346770010888577","1.0487256143735941","8.957450045272708","9.254599921405315","14057.283325902465","0.6.1","1.5.2","multi_batch"
"adult","rf","dir","256","256","12.25505000911653","12.627822002395988","1.308519954314798","12.125833763275295","12.443199986591935","20889.347641140725","0.6.1","1.5.2","multi_batch"
"adult","rf","dir","256","1024","26.791100041009486","27.639144982676953","2.6466946837608405","26.704799849539995","26.984900003299117","38221.64817542206","0.6.1","1.5.2","multi_batch"
"adult","rf","eqodds","256","1","2.053049858659506","2.2775699966587126","0.5091271564386933","2.000999986194074","2.109050052240491","487.08023128718764","0.6.1","1.5.2","multi_batch"
"adult","rf","eqodds","256","32","3.2424001256003976","3.381051989272237","0.6531263924315394","3.1464723666431382","3.316699992865324","9869.232284857051","0.6.1","1.5.2","multi_batch"
"adult","rf","eqodds","256","128","5.9440500335767865","6.263130011502653","0.8877823244706938","5.732996249571443","6.154899951070547","21534.139059555826","0.6.1","1.5.2","multi_batch"
"adult","rf","eqodds","256","256","8.911950048059225","9.299159999936819","1.3211844562792168","8.665499975904822","9.111931134248152","28725.475189995","0.6.1","1.5.2","multi_batch"
